,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Xie-Beni,Solving Time,Iterations
16,GS-FCM_k3_m1.5_eta0.5,0.24686466320823586,0.7860169491525424,0.6557344854673999,0.8680760779183503,0.37231731889995107,1440.1930948930371,0.2112059007008047,0.06766462326049805,11
17,GS-FCM_k3_m1.5_eta0.9,0.26848381758461515,0.7891949152542372,0.6664856632119925,0.8680760779183506,0.372317318899951,1440.193094893037,0.21858719544468785,0.221940279006958,39
18,GS-FCM_k3_m1.75_eta0.1,0.27333492645950885,0.7891949152542372,0.6700078886553933,0.867865970045973,0.37236184494943897,1440.5881092898574,0.16343029641248483,0.15497803688049316,26
19,GS-FCM_k3_m1.75_eta0.5,0.262240180646496,0.777542372881356,0.6636890383126295,0.8680760779183508,0.37231731889995734,1440.193094893035,0.19026676959632882,0.33390164375305176,58
20,GS-FCM_k3_m1.75_eta0.9,0.24755301884228387,0.7823093220338984,0.6612012330872902,0.8679671300571382,0.3723304301884367,1440.294267417042,0.2180024554816431,0.04589080810546875,7
21,GS-FCM_k3_m2_eta0.1,0.26269266752930864,0.7770127118644068,0.6645383786214514,0.867924032554911,0.37225332530740485,1440.10733029519,0.13782725035905152,0.37673473358154297,63
22,GS-FCM_k3_m2_eta0.5,0.24686466320823586,0.7860169491525424,0.6557344854673999,0.8680760779183508,0.37231731889997255,1440.193094893036,0.16172017568682784,0.12604093551635742,19
23,GS-FCM_k3_m2_eta0.9,0.24686466320823586,0.7860169491525424,0.6557344854673999,0.8680760779183503,0.37231731889995107,1440.1930948930371,0.2150668068676568,0.23682188987731934,43
24,GS-FCM_k4_m1.05_eta0.1,0.2615907439453682,0.8527542372881356,0.6036350219005904,0.8127169438954844,0.371078686133245,1629.6584481530806,0.19264632219027455,0.06646084785461426,9
25,GS-FCM_k4_m1.05_eta0.5,0.25323520802894767,0.8527542372881356,0.5902084566770849,0.8127169438954842,0.371078686133245,1629.6584481530806,0.19267841083869525,0.11820650100708008,18
26,GS-FCM_k4_m1.05_eta0.9,0.25323520802894767,0.8527542372881356,0.5902084566770849,0.8127169438954842,0.371078686133245,1629.6584481530806,0.19267841083870194,0.15703058242797852,21
27,GS-FCM_k4_m1.5_eta0.1,0.2503556926943103,0.8495762711864406,0.5912498277525148,0.8122985093430495,0.37151827695634165,1630.5632918959489,0.16344974296069004,0.19850373268127441,28
28,GS-FCM_k4_m1.5_eta0.5,0.2549467452247306,0.8538135593220338,0.5913680289221549,0.8126779995175298,0.3711157759992282,1629.6882267715273,0.1853686174801999,0.10420513153076172,13
29,GS-FCM_k4_m1.5_eta0.9,0.2615907439453682,0.8527542372881356,0.6036350219005904,0.8127169438954844,0.371078686133245,1629.6584481530806,0.1926634572537415,0.2695803642272949,39
30,GS-FCM_k4_m1.75_eta0.1,0.26681520000493647,0.8580508474576272,0.6040677966101694,0.8122985093430499,0.37151827695634165,1630.5632918959493,0.13694903339795655,0.18696880340576172,28
31,GS-FCM_k4_m1.75_eta0.5,0.26681520000493647,0.8580508474576272,0.6040677966101694,0.8122985093430499,0.37151827695634165,1630.5632918959493,0.16430547116967942,0.2546570301055908,31
32,GS-FCM_k4_m1.75_eta0.9,0.2615907439453682,0.8527542372881356,0.6036350219005904,0.8127169438954844,0.371078686133245,1629.6584481530806,0.19212568351518808,0.47704625129699707,53
33,GS-FCM_k4_m2_eta0.1,0.26681520000493647,0.8580508474576272,0.6040677966101694,0.8122985093430499,0.37151827695634165,1630.5632918959493,0.11051991392657826,0.4641578197479248,65
