,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Xie-Beni,Solving Time,Iterations
11,GS-FCM_k2_m2_eta0.9,0.00043994781250264334,0.9610079575596817,0.7856804613860974,1.7929684486900404,0.2378760550122678,922.2079160197184,0.900014205517077,0.11861348152160645,9
12,GS-FCM_k3_m1.05_eta0.1,-0.0020084985941914617,0.9610079575596817,0.7417678370723374,1.459779743189048,0.2811597897363058,1005.2841006471965,0.7182945179845661,0.06645655632019043,4
13,GS-FCM_k3_m1.05_eta0.5,-0.002405708556180397,0.9610079575596817,0.7271868724842478,1.4824477267627323,0.2797356732678459,1003.6486983984919,0.7422789204140576,0.24024057388305664,15
14,GS-FCM_k3_m1.05_eta0.9,-0.0030526894348237056,0.9610079575596817,0.6485221952076125,1.743510830284811,0.23877155766131128,843.7543158520549,0.7912012347671616,0.09299945831298828,5
15,GS-FCM_k3_m1.5_eta0.1,0.007039593792438043,0.9610079575596817,0.6103821497252301,1.5617069219644069,0.24660900832025429,900.4748212802511,0.8345388420387273,0.26668286323547363,16
16,GS-FCM_k3_m1.5_eta0.5,0.001822921546548872,0.9610079575596817,0.6016777163181776,1.610651120397206,0.24874558513353423,833.6923048029433,0.7113336768200732,0.24774956703186035,15
17,GS-FCM_k3_m1.5_eta0.9,0.0026370026453816963,0.9610079575596817,0.6187286868810228,1.577411703064816,0.24850313255790077,832.9880028709812,0.736270641796001,0.13425946235656738,8
18,GS-FCM_k3_m1.75_eta0.1,0.007039593792438043,0.9610079575596817,0.6103821497252301,1.5617069219644069,0.24660900832025429,900.474821280251,0.7491616963874159,0.6398258209228516,41
19,GS-FCM_k3_m1.75_eta0.5,-0.0020084985941914617,0.9610079575596817,0.7417678370723374,1.459779743189048,0.2811597897363058,1005.2841006471964,0.6329838018210395,0.18900465965270996,11
20,GS-FCM_k3_m1.75_eta0.9,0.0018130218083514417,0.9610079575596817,0.6016777163181776,1.609087898928758,0.24870576528444055,833.7018215473097,0.7396650770348798,0.08557844161987305,5
21,GS-FCM_k3_m2_eta0.1,0.007229439624858413,0.9610079575596817,0.610135044645088,1.5614054280966847,0.24651965443937826,900.2698435285216,0.6438781238781371,0.669947624206543,42
22,GS-FCM_k3_m2_eta0.5,0.002055279311177882,0.9610079575596817,0.6054222943068367,1.6044256550017517,0.24869936406624435,833.1845268708388,0.524750977382607,0.15016674995422363,9
23,GS-FCM_k3_m2_eta0.9,-0.0035022465441174534,0.9610079575596817,0.6641648203799391,1.7720115696833885,0.23983616128696086,844.0801362121621,0.7917343562404112,0.13116788864135742,8
